co2_value,Category
368.84,Satisfactory
368.82,Satisfactory
368.75,Satisfactory
368.82,Satisfactory
368.66,Satisfactory
368.46,Satisfactory
368.64,Satisfactory
369,Satisfactory
368.83,Satisfactory
368.8,Satisfactory
368.96,Satisfactory
368.71,Satisfactory
369.14,Satisfactory
368.84,Satisfactory
368.82,Satisfactory
370.02,Satisfactory
369.86,Satisfactory
369.85,Satisfactory
369.49,Satisfactory
369.63,Satisfactory
369.83,Satisfactory
370.65,Satisfactory
369.87,Satisfactory
369.57,Satisfactory
369.63,Satisfactory
369.62,Satisfactory
370.59,Satisfactory
370.63,Satisfactory
369.75,Satisfactory
369.34,Satisfactory
368.98,Satisfactory
369.42,Satisfactory
369.38,Satisfactory
369.33,Satisfactory
369.39,Satisfactory
369.15,Satisfactory
369.38,Satisfactory
369.43,Satisfactory
369.48,Satisfactory
369.52,Satisfactory
369.93,Satisfactory
369.79,Satisfactory
369.82,Satisfactory
369.82,Satisfactory
369.63,Satisfactory
369.51,Satisfactory
369.78,Satisfactory
370.76,Satisfactory
369.03,Satisfactory
369.14,Satisfactory
369.01,Satisfactory
368.9,Satisfactory
369.01,Satisfactory
370.24,Satisfactory
369.84,Satisfactory
370.27,Satisfactory
369.5,Satisfactory
369.83,Satisfactory
369.74,Satisfactory
369.95,Satisfactory
370.8,Satisfactory
370.66,Satisfactory
371.29,Satisfactory
369.84,Satisfactory
369.64,Satisfactory
369.86,Satisfactory
369.58,Satisfactory
369.67,Satisfactory
370.64,Satisfactory
370.28,Satisfactory
370.44,Satisfactory
370.03,Satisfactory
370.87,Satisfactory
370.77,Satisfactory
370.82,Satisfactory
371.29,Satisfactory
371.47,Satisfactory
371.03,Satisfactory
370.85,Satisfactory
370.71,Satisfactory
370.94,Satisfactory
370.6,Satisfactory
371.07,Satisfactory
371.22,Satisfactory
371.18,Satisfactory
370.79,Satisfactory
370.74,Satisfactory
371.01,Satisfactory
371.91,Satisfactory
370.65,Satisfactory
371.48,Satisfactory
370.72,Satisfactory
370.21,Satisfactory
371.74,Satisfactory
371.13,Satisfactory
371.52,Satisfactory
372.28,Satisfactory
371.61,Satisfactory
371.49,Satisfactory
372.06,Satisfactory
371.48,Satisfactory
373.11,Satisfactory
372.41,Satisfactory
372.25,Satisfactory
372.12,Satisfactory
373.03,Satisfactory
373.34,Satisfactory
372.02,Satisfactory
371.85,Satisfactory
371.98,Satisfactory
371.87,Satisfactory
371.93,Satisfactory
371.94,Satisfactory
371.97,Satisfactory
371.82,Satisfactory
371.69,Satisfactory
370.9,Satisfactory
370.67,Satisfactory
370.6,Satisfactory
370.8,Satisfactory
370.76,Satisfactory
370.92,Satisfactory
372.2,Satisfactory
371.78,Satisfactory
371.82,Satisfactory
371.94,Satisfactory
372.12,Satisfactory
371.77,Satisfactory
371.4,Satisfactory
371.36,Satisfactory
371.56,Satisfactory
371.38,Satisfactory
371.49,Satisfactory
371.44,Satisfactory
371.32,Satisfactory
371.98,Satisfactory
372.37,Satisfactory
372.24,Satisfactory
372.29,Satisfactory
372.27,Satisfactory
371.75,Satisfactory
372.03,Satisfactory
371.59,Satisfactory
371.27,Satisfactory
372.25,Satisfactory
372.27,Satisfactory
372.14,Satisfactory
372.1,Satisfactory
372,Satisfactory
371.86,Satisfactory
372.61,Satisfactory
372.26,Satisfactory
372.07,Satisfactory
371.63,Satisfactory
371.66,Satisfactory
371.88,Satisfactory
372,Satisfactory
371.12,Satisfactory
371.81,Satisfactory
371.59,Satisfactory
371.89,Satisfactory
371.71,Satisfactory
371.67,Satisfactory
371.88,Satisfactory
372.09,Satisfactory
372.01,Satisfactory
371.76,Satisfactory
371.66,Satisfactory
371.57,Satisfactory
371.65,Satisfactory
371.63,Satisfactory
371.32,Satisfactory
371.26,Satisfactory
371.13,Satisfactory
371.28,Satisfactory
371.04,Satisfactory
371.06,Satisfactory
370.76,Satisfactory
370.12,Satisfactory
369.9,Satisfactory
370.31,Satisfactory
369.81,Satisfactory
370.44,Satisfactory
369.91,Satisfactory
370.25,Satisfactory
370.03,Satisfactory
370.36,Satisfactory
370.29,Satisfactory
370.21,Satisfactory
