Date,CO2 - PPM,CO - PPM,CH4 - PPM,Dust Particles (PM2.5),Wind S,Wind D
1990-04-01,321.55,323,311.05,5,30.746,316.193
1990-04-02,316.39,319,315.42,28,15.376,298.061
1990-04-03,318.06,318,320.34,63,12.728,138.32
1990-04-04,319.32,321,311.05,43,33.819,119.332
1990-04-05,322.69,326,318.29,8,15.714,181.57
1990-04-06,313.47,322,316.65,31,16.25,332.728
1990-04-07,321.85,320,321.57,32,16.303,301.71
1990-04-08,321.92,325,317.88,19,1.58,307.56
1990-04-09,318.46,324,315.83,41,35.126,9.026
1990-04-10,320.31,325,311,68,44.582,152.697
1990-04-11,321.18,324,319.93,32,3.909,271.088
1990-04-12,316.07,327,320.75,37,39.848,323.93
1990-04-13,312.36,326,320.34,62,12.16,134.497
1990-04-14,314.39,321,316.24,24,43.651,141.068
1990-04-15,319.15,319,313.37,39,25.454,312.252
1990-04-16,316.7,322,324.03,34,9.665,101.722
1990-04-17,319.22,321,316.24,32,22.203,132.93
1990-04-18,319.85,324,323.62,5,51.195,131.475
1990-04-19,314.39,328,321.57,9,15.714,304.215
1990-04-20,322.33,323,313.37,14,9.221,53.33
1990-04-21,322.86,320,312,10,32.965,125.486
1990-04-22,316.33,317,313.37,31,32.117,133.228
1990-04-23,322.09,324,311,58,1.491,132.285
1990-04-24,317.12,326,321.98,68,21.557,141.812
1990-04-25,319.14,323,317.06,23,27.965,166.636
1990-04-26,316.95,325,318.29,10,2.98,306.209
1990-04-27,322.33,326,317.47,43,22.67,126.7
1990-04-28,322.21,324,315.42,22,42.058,332.728
1990-04-29,315.69,329,314.6,23,36.492,184.297
1990-04-30,318.97,322,315.42,13,1.27,115.496
1990-05-01,316.8,317,319.11,29,29.988,311.694
1990-05-02,321.53,320,318.29,20,40.686,317.806
1990-05-03,318.42,319,324.03,37,35.049,303.94
1990-05-04,313.29,319,312.05,27,33.819,33.135
1990-05-05,317.13,323,322.8,42,9.06,295.821
1990-05-06,321.48,323,313.37,32,16.641,115.496
1990-05-07,316.45,317,318.29,11,50.732,330.679
1990-05-08,322.82,325,322.39,39,24.798,15.801
1990-05-09,315.26,317,316.24,8,25.112,74.829
1990-05-10,320.6,317,322.39,32,9.06,118.13
1990-05-11,316.36,325,321.57,62,21.267,303.028
1990-05-12,319.76,320,316.65,26,31.897,140.213
1990-05-13,313.86,320,318.29,42,10.243,124.751
1990-05-14,314.01,321,324.44,60,29.988,152.697
1990-05-15,318.84,319,318.29,62,31.148,156.388
1990-05-16,313.06,328,317.47,24,34.002,115.496
1990-05-17,313.04,322,315.01,37,43.63,127.113
1990-05-18,315.78,319,320.34,41,31.838,301.52
1990-05-19,313.72,320,314.19,52,12.136,131.389
1990-05-20,320,322,317.88,23,25.879,332.728
1990-05-21,322.44,323,317.47,56,22.594,150.024
1990-05-22,317.15,320,312.96,44,25.454,299.853
1990-05-23,317.11,328,324.03,34,31.548,123.487
1990-05-24,321.43,324,312.96,52,50.333,261.891
1990-05-25,315.31,321,324.44,1,36.203,137.818
1990-05-26,313.3,329,321.57,12,7.11,144.069
1990-05-27,317.12,323,314.19,52,48.836,286.864
1990-05-28,312.85,325,313.37,4,23.794,302.837
1990-05-29,315.3,323,322.39,65,35.096,101.722
1990-05-30,319.69,322,316.24,17,28.862,141.155
1990-05-31,318.99,324,324.03,23,26.141,25.337
1990-06-01,321.97,325,316.24,4,34.372,84.537
1990-06-02,319.6,325,316.24,55,11.259,144.069
1990-06-03,321.95,320,319.11,28,37.748,334.431
1990-06-04,316.53,322,319.93,34,9.97,151.042
1990-06-05,319.58,325,317.47,65,45.252,132.285
1990-06-06,312.48,328,316.24,69,21.123,142.288
1990-06-07,322.09,321,320.34,22,40.686,220.06
1990-06-08,320.92,325,321.98,29,5.105,309.489
1990-06-09,314.78,322,314.19,26,47.1,134.428
1990-06-10,314.13,326,322.8,11,43.63,294.776
1990-06-11,318.23,328,315.01,41,31.548,249.792
1990-06-12,315.74,329,324.03,1,1.27,311.197
1990-06-13,317.68,321,317.06,19,26.269,110.091
1990-06-14,317.11,323,311.05,7,8.406,332.728
1990-06-15,315.21,328,315.83,18,20.691,146.466
1990-06-16,315.16,326,321.57,35,10.788,123.707
1990-06-17,318.53,324,312.05,57,36.237,136.927
1990-06-18,321.51,326,324.03,35,33.819,145.581
1990-06-19,312.59,326,325.26,5,38.961,306.982
1990-06-20,321.76,328,320.75,3,32.117,304.48
1990-06-21,313.77,324,321.16,30,4.111,181.57
1990-06-22,313.61,324,313.37,61,3.703,19.103
1990-06-23,322.47,328,315.01,67,28.919,134.422
1990-06-24,312.32,325,314.6,48,27.965,150.802
1990-06-25,320.64,325,317.06,43,25.079,152.697
1990-06-26,314.93,319,315.42,59,2.953,291.145
1990-06-27,316.61,318,311,39,18.513,309.396
1990-06-28,317.16,320,316.65,25,16.25,187.15
1990-06-29,317.22,328,312.55,43,1.27,347.566
1990-06-30,313.02,326,321.16,24,1.601,226.485
1990-07-01,321.09,320,319.11,19,0.585,311.488
1990-07-02,319.85,328,324.44,32,30.23,153.146
1990-07-03,315.35,317,320.75,40,18.014,158.901
1990-07-04,315.3,321,324.03,33,35.108,144.939
1990-07-05,313.79,317,316.65,26,12.027,311.508
1990-07-06,312.7,327,313.37,16,7.874,299.498
1990-07-07,315.11,323,325.26,57,2.98,42.213
1990-07-08,321.17,321,317.88,41,3.353,123.707
1990-07-09,320.87,326,312.96,57,16.265,302.841
1990-07-10,320.97,320,312.05,43,19.059,125.08
1990-07-11,321.53,329,312.55,7,29.603,146.466
1990-07-12,314.57,326,319.93,16,10.243,216.69
1990-07-13,315.47,329,320.75,18,4.935,291.145
1990-07-14,312.53,328,317.06,51,31.77,330.304
1990-07-15,312.3,318,317.06,42,17.184,137.818
1990-07-16,319.88,327,321.98,55,43.922,144.035
1990-07-17,318.23,325,313.78,8,40.686,114.295
1990-07-18,322.73,317,313.37,67,8.406,128.868
1990-07-19,318.74,319,321.57,8,3.703,108.289
1990-07-20,316.21,323,312.55,17,6.963,295.821
1990-07-21,313.29,327,312.96,47,23.517,136.899
1990-07-22,316.36,326,320.34,58,25.683,270.221
1990-07-23,313.24,320,325.26,1,13.866,285.863
1990-07-24,314.44,318,318.7,68,30.17,303.454
1990-07-25,319.64,326,316.65,1,35.126,311.085
1990-07-26,318.79,329,323.21,17,31.838,305.087
1990-07-27,315.93,317,314.19,48,6.736,132.285
1990-07-28,322.21,328,322.39,20,9.136,302.841
1990-07-29,318.81,325,314.19,45,17.558,249.792
1990-07-30,315.21,319,312.96,61,12.445,303.028
1990-07-31,316.7,318,313.78,41,32.311,135.883
1990-08-01,318.25,329,319.11,18,19.51,262.075
1990-08-02,319.58,328,317.88,1,43.861,36.916
1990-08-03,319.54,319,319.11,44,9.312,90.193
1990-08-04,322.63,323,324.85,51,19.097,307.937
1990-08-05,320.51,329,317.06,57,0.585,133.278
1990-08-06,321.98,325,315.42,26,35.096,299.1
1990-08-07,320.31,318,321.57,34,29.724,92.176
1990-08-08,313.47,328,312.55,18,13.546,303.618
1990-08-09,322.1,319,317.47,12,6.905,245.372
1990-08-10,322.56,319,321.16,14,19.85,304.598
1990-08-11,321.8,322,320.34,48,8.169,339.183
1990-08-12,314.34,323,318.29,57,6.096,114.96
1990-08-13,316.67,329,317.47,45,28.692,153.146
1990-08-14,316.19,321,313.37,33,37.79,308.513
1990-08-15,319.21,317,320.75,56,12.136,126.724
1990-08-16,320.09,317,320.75,4,8.169,320.991
1990-08-17,312.39,326,312.05,14,44.289,60.511
1990-08-18,313.37,324,312.96,38,30.23,304.48
1990-08-19,315.69,321,319.11,19,44.289,25.337
1990-08-20,319.27,317,320.34,67,41.561,249.792
1990-08-21,313.58,319,312,1,25.533,138.074
1990-08-22,321.07,328,320.34,13,22.67,127.391
1990-08-23,313.89,322,311.05,40,19.179,304.215
1990-08-24,318.59,321,316.24,33,25.879,116.784
1990-08-25,312.71,318,323.21,56,26.471,315.794
1990-08-26,315.81,318,325.26,14,6.642,131.475
1990-08-27,313.45,322,317.47,16,9.546,305.216
1990-08-28,315.04,327,314.6,39,37.79,127.113
1990-08-29,320.77,320,311,35,26.51,141.812
1990-08-30,315.69,317,321.16,69,26.457,321.471
1990-08-31,316.05,317,312.05,11,22.203,126.319
1990-09-01,318.16,327,320.75,4,3.148,150.024
1990-09-02,312.49,321,313.78,23,32.328,299.931
1990-09-03,319.86,323,312.05,21,46.951,285.515
1990-09-04,316.8,329,311,54,35.108,123.824
1990-09-05,319.14,321,315.42,43,31.593,91.848
1990-09-06,318,319,316.24,61,24.644,122.761
1990-09-07,321.8,326,324.03,51,18.173,125.58
1990-09-08,318.17,318,322.39,32,1.443,305.081
1990-09-09,319.15,321,325.26,11,19.51,330.679
1990-09-10,320.98,323,316.24,14,39.663,134.636
1990-09-11,319.85,329,321.57,67,19.619,140.412
1990-09-12,313.75,319,321.57,44,9.23,114.295
1990-09-13,321.12,321,313.78,22,6.995,150.879
1990-09-14,322.45,321,314.6,40,7.888,316.286
1990-09-15,317.11,320,314.6,25,21.13,84.537
1990-09-16,312.75,325,315.83,3,19.51,319.162
1990-09-17,316.95,328,318.7,21,37.194,9.026
1990-09-18,321.48,322,319.11,44,5.105,301.52
1990-09-19,318.76,323,324.03,61,24.977,328.368
1990-09-20,318.03,324,315.83,61,38.19,305.081
1990-09-21,318.05,329,315.01,1,2.457,300.515
1990-09-22,322.75,327,319.52,5,36.375,320.991
1990-09-23,314.54,326,313.37,45,13.866,116.784
1990-09-24,320.13,320,320.34,52,27.908,141.155
1990-09-25,318.25,325,316.65,48,30.396,135.883
1990-09-26,316.7,319,314.6,18,22.009,45.025
1990-09-27,313.33,319,325.26,32,32.528,304.598
1990-09-28,320.97,328,319.11,43,33.075,123.818
1990-09-29,314.28,321,312.96,42,5.105,131.1
1990-09-30,316.41,325,325.26,33,33.586,108.289
1990-10-01,313.99,328,317.06,62,32.265,312.849
1990-10-02,322.05,329,314.19,35,4.154,196.224
1990-10-03,322.09,318,311.05,6,18.513,113.556
1990-10-04,322.82,329,316.24,22,45.031,298.962
1990-10-05,316.51,323,320.75,35,8.958,140.412
1990-10-06,319.86,317,314.19,39,5.842,8.84
1990-10-07,313.84,322,323.21,1,48.869,114.341
1990-10-08,320.65,328,323.62,35,13.312,135.857
1990-10-09,320.98,323,316.24,63,44.919,321.67
1990-10-10,318.65,322,320.34,8,4.537,245.372
1990-10-11,317.24,329,314.19,68,18.684,324.355
1990-10-12,312.7,325,312.55,18,26.141,114.341
1990-10-13,318.35,318,315.42,29,44.901,144.726
1990-10-14,312.62,328,315.01,53,27.965,216.69
1990-10-15,320.24,324,320.75,42,34.002,324.154
1990-10-16,318.81,329,321.57,55,39.298,118.32
1990-10-17,313.72,323,325.26,55,20.244,132.797
1990-10-18,314.07,327,316.24,32,20.733,151.042
1990-10-19,319.48,318,319.93,36,24.798,122.761
1990-10-20,316.19,318,312.96,54,11.989,302.837
1990-10-21,318.8,324,321.16,10,0.925,150.879
1990-10-22,313.22,323,322.39,3,42.975,114.341
1990-10-23,317.8,317,324.03,69,27.37,311.694
1990-10-24,321.22,324,311.05,12,12.136,126.319
1990-10-25,322.05,317,312.55,10,16.963,104.897
1990-10-26,316.25,325,321.57,49,6.905,142.681
1990-10-27,318.32,325,314.6,31,50.029,316.844
1990-10-28,317.23,319,317.88,50,10.415,286.864
1990-10-29,321.43,329,324.44,56,9.261,137.953
1990-10-30,312.71,326,325.26,24,31.62,133.278
1990-10-31,315.53,327,313.37,46,42.975,148.998
1990-11-01,316,321,322.8,44,37.79,110.091
1990-11-02,317.15,317,316.65,59,20.556,324.355
1990-11-03,314.44,327,313.37,42,40.785,128.286
1990-11-04,318.5,321,315.83,29,44.944,42.213
1990-11-05,319.26,318,314.6,50,44.582,306.209
1990-11-06,319.03,319,315.83,58,1.491,295.821
1990-11-07,312.83,325,319.52,22,27.971,332.906
1990-11-08,315.16,324,323.62,63,39.057,339.202
1990-11-09,320.16,328,313.37,44,9.546,311.087
1990-11-10,317.66,325,319.11,26,18.62,124.751
1990-11-11,319.28,327,319.52,15,37.748,271.088
1990-11-12,322.48,328,322.8,53,24.782,162.777
1990-11-13,315.27,322,316.65,38,30.164,142.288
